Time,Actual Value,Fitted Value,,PE
0,17,17,,0
15,16.1,16.1924623,,0.574300022
30,14.9,15.42328444,,3.511976097
45,14,14.69064423,,4.933173053
60,13.2,13.99280605,,6.006106448
75,12.5,13.32811674,,6.624933884
90,11.9,12.69500164,,6.68068602
105,11.2,12.09196091,,7.963936681
120,10.7,11.51756595,,7.64080329
150,9.7,10.44933504,,7.725103527
180,8.9,9.480180385,,6.518880732
210,8.3,8.600912859,,3.625456136
240,7.5,7.803195615,,4.042608203
300,6.3,6.42285899,,1.950142692
360,5.2,5.286695302,,1.667217347
,,,,
,,,average error,4.631021609
,,,median error,4.933173053
