Time,Actual Value,Fitted Value,,Percentage error = actual - fitted / actual *100
0,17,17,,0
15,16.1,16.18131059,,0.505034729
30,14.9,15.40204779,,3.369448265
45,14,14.66031289,,4.716520613
60,13.2,13.9542986,,5.714383321
75,12.5,13.28228469,,6.258277509
90,11.9,12.64263376,,6.240619827
105,11.2,12.03378727,,7.444529178
120,10.7,11.45426173,,7.049175027
150,9.7,10.37759333,,6.985498211
180,8.9,9.402128728,,5.641895819
210,8.3,8.518355059,,2.630783848
240,7.5,7.717653631,,2.902048416
300,6.3,6.33496725,,0.555035713
360,5.2,5.200001448,,2.78469E-05
,,,,
,,,Average Error,4.000885222
,,,Median Error,4.716520613
