Time,Actual Value,Fitted Value,,PE
0,17,17,,0
15,16.1,16.15294432,,0.328846725
30,14.9,15.34809472,,3.007347135
45,14,14.58334821,,4.166772908
60,13.2,13.85670657,,4.975049746
75,12.5,13.16627116,,5.330169254
90,11.9,12.51023794,,5.128049892
105,11.2,11.88689276,,6.132971042
120,10.7,11.29460687,,5.557073594
150,9.7,10.19709977,,5.124739946
180,8.9,9.206238426,,3.440881193
210,8.3,8.311659965,,0.140481508
240,7.5,7.504008497,,0.053446629
300,6.3,6.116520225,,2.912377388
360,5.2,4.985577998,,4.123500046
,,,,
,,,average error,3.361447134
,,,median error,4.123500046
