Time,Actual Value,Fitted Value,,PE
0,14,14,,0
15,11.8,12.59753084,,6.758735926
30,10.5,11.33555595,,7.957675678
45,9.3,10.20000112,,9.677431345
60,8.5,9.178202043,,7.97884757
75,7.7,8.258763092,,7.256663535
90,7.1,7.431430196,,4.668030934
105,6.5,6.686976506,,2.876561624
120,6,6.017099482,,0.284991369
150,5.3,4.871940558,,8.076593243
180,4.4,3.94472534,,10.34715136
210,3.5,3.193975342,,8.743561661
240,2.9,2.586106156,,10.82392567
300,1.3,1.695414629,,30.4165099
360,0.7,1.111489858,,58.7842654
,,,,
,,,aver err,6.573089993
,,,median erro,7.97884757
