Time,Actual Value,Fitted Value,,PE
0,14,14,,0
15,12.1,12.90507738,,6.653532102
30,10.9,11.89578731,,9.135663366
45,10,10.96543255,,9.654325531
60,9.3,10.10783969,,8.686448272
75,8.6,9.317318098,,8.340908122
90,8,8.58862222,,7.357777746
105,7.5,7.916916741,,5.558889876
120,7,7.297744513,,4.253493045
150,6.2,6.200886896,,0.014304779
180,5.5,5.268887974,,4.202036841
210,4.5,4.476969334,,0.511792572
240,3.5,3.804076784,,8.687908122
300,2,2.746499879,,37.32499393
360,0.9,1.982941463,,120.3268292
,,,,
,,,aver er,7.884433879
,,,median er,6.653532102
